date,chf_eur
01/01/2019,1.1269
02/01/2019,1.1239
03/01/2019,1.1219
04/01/2019,1.1256
07/01/2019,1.1227
08/01/2019,1.1232
09/01/2019,1.123
10/01/2019,1.1276
11/01/2019,1.1327
14/01/2019,1.1258
15/01/2019,1.1266
16/01/2019,1.1269
17/01/2019,1.1312
18/01/2019,1.1331
21/01/2019,1.1343
22/01/2019,1.1326
23/01/2019,1.1335
24/01/2019,1.1283
25/01/2019,1.131
28/01/2019,1.1331
29/01/2019,1.1352
30/01/2019,1.1403
31/01/2019,1.1409
01/02/2019,1.1396
04/02/2019,1.1421
05/02/2019,1.1436
06/02/2019,1.1394
07/02/2019,1.1357
08/02/2019,1.1357
11/02/2019,1.1351
12/02/2019,1.1381
13/02/2019,1.1371
14/02/2019,1.137
15/02/2019,1.134
18/02/2019,1.1361
19/02/2019,1.1351
20/02/2019,1.1342
21/02/2019,1.1367
22/02/2019,1.1346
25/02/2019,1.1351
26/02/2019,1.1371
27/02/2019,1.1354
28/02/2019,1.1335
01/03/2019,1.1363
04/03/2019,1.1352
05/03/2019,1.1341
06/03/2019,1.136
07/03/2019,1.1355
08/03/2019,1.1324
11/03/2019,1.1349
12/03/2019,1.1369
13/03/2019,1.1373
14/03/2019,1.1351
15/03/2019,1.136
18/03/2019,1.136
19/03/2019,1.1353
20/03/2019,1.1338
21/03/2019,1.1309
22/03/2019,1.1243
25/03/2019,1.1237
26/03/2019,1.1222
27/03/2019,1.1196
28/03/2019,1.1185
29/03/2019,1.1181
01/04/2019,1.118
02/04/2019,1.1195
03/04/2019,1.1206
04/04/2019,1.1207
05/04/2019,1.1235
08/04/2019,1.1245
09/04/2019,1.127
10/04/2019,1.128
11/04/2019,1.1304
12/04/2019,1.1326
15/04/2019,1.1345
16/04/2019,1.1371
17/04/2019,1.14
18/04/2019,1.1383
19/04/2019,1.1383
22/04/2019,1.1383
23/04/2019,1.147
24/04/2019,1.1416
25/04/2019,1.1368
26/04/2019,1.1372
29/04/2019,1.1379
30/04/2019,1.1437
01/05/2019,1.1437
02/05/2019,1.1419
03/05/2019,1.1383
06/05/2019,1.1403
07/05/2019,1.1415
08/05/2019,1.1407
09/05/2019,1.139
10/05/2019,1.1378
13/05/2019,1.1319
14/05/2019,1.1307
15/05/2019,1.1276
16/05/2019,1.1306
17/05/2019,1.1283
20/05/2019,1.1263
21/05/2019,1.1274
22/05/2019,1.1252
23/05/2019,1.1224
24/05/2019,1.1215
27/05/2019,1.1257
28/05/2019,1.1254
29/05/2019,1.1217
30/05/2019,1.1228
31/05/2019,1.1214
03/06/2019,1.1162
04/06/2019,1.1178
05/06/2019,1.1163
06/06/2019,1.1174
07/06/2019,1.1191
10/06/2019,1.12
11/06/2019,1.1233
12/06/2019,1.1252
13/06/2019,1.1207
14/06/2019,1.1211
17/06/2019,1.1214
18/06/2019,1.1175
19/06/2019,1.1176
20/06/2019,1.1142
21/06/2019,1.1107
24/06/2019,1.1109
25/06/2019,1.1108
26/06/2019,1.1113
27/06/2019,1.1121
28/06/2019,1.1105
01/07/2019,1.1141
02/07/2019,1.1169
03/07/2019,1.1116
04/07/2019,1.112
05/07/2019,1.1126
08/07/2019,1.1127
09/07/2019,1.1137
10/07/2019,1.1133
11/07/2019,1.1114
12/07/2019,1.1087
15/07/2019,1.1071
16/07/2019,1.1075
17/07/2019,1.1095
18/07/2019,1.1064
19/07/2019,1.1033
22/07/2019,1.1007
23/07/2019,1.0985
24/07/2019,1.0982
25/07/2019,1.0989
26/07/2019,1.1053
29/07/2019,1.1037
30/07/2019,1.1038
31/07/2019,1.1041
01/08/2019,1.0988
02/08/2019,1.0931
05/08/2019,1.0893
06/08/2019,1.0919
07/08/2019,1.0921
08/08/2019,1.0923
09/08/2019,1.0897
12/08/2019,1.0876
13/08/2019,1.0853
14/08/2019,1.0862
15/08/2019,1.0863
16/08/2019,1.0854
19/08/2019,1.0884
20/08/2019,1.086
21/08/2019,1.0875
22/08/2019,1.0905
23/08/2019,1.0893
26/08/2019,1.0885
27/08/2019,1.0884
28/08/2019,1.0872
29/08/2019,1.088
30/08/2019,1.0909
02/09/2019,1.0875
03/09/2019,1.0829
04/09/2019,1.0848
05/09/2019,1.0863
06/09/2019,1.0928
09/09/2019,1.0923
10/09/2019,1.0943
11/09/2019,1.0934
12/09/2019,1.0892
13/09/2019,1.094
16/09/2019,1.0932
17/09/2019,1.0966
18/09/2019,1.0999
19/09/2019,1.097
20/09/2019,1.0942
23/09/2019,1.0891
24/09/2019,1.0878
25/09/2019,1.0841
26/09/2019,1.0864
27/09/2019,1.086
30/09/2019,1.0847
01/10/2019,1.0906
02/10/2019,1.094
03/10/2019,1.0957
04/10/2019,1.0913
07/10/2019,1.0924
08/10/2019,1.0898
09/10/2019,1.0927
10/10/2019,1.0948
11/10/2019,1.1025
14/10/2019,1.0983
15/10/2019,1.0977
16/10/2019,1.0997
17/10/2019,1.0991
18/10/2019,1.0996
21/10/2019,1.1002
22/10/2019,1.1004
23/10/2019,1.1004
24/10/2019,1.1019
25/10/2019,1.1019
28/10/2019,1.1047
29/10/2019,1.1041
30/10/2019,1.1032
31/10/2019,1.1007
01/11/2019,1.1013
04/11/2019,1.1021
05/11/2019,1.1009
06/11/2019,1.101
07/11/2019,1.0998
08/11/2019,1.0991
11/11/2019,1.0972
12/11/2019,1.0963
13/11/2019,1.0894
14/11/2019,1.0873
15/11/2019,1.0924
18/11/2019,1.096
