date,ISIN,ask,bid,book_val_per_share,high_price,low_price,prc,return_index,shrout,tot_assets,tot_debt_prop,volume
01/01/2020,CH0012221716,,,6.835,,,22.555,3102.2,2030834,35616825,39.02,
01/01/2020,CH0012138605,,,21.519,,,61.22,440.61,161144,10392034,57.99,
01/01/2020,CH0102484968,,,29.882,,,49.93,165.11,215032,109116900,310.98,
01/01/2020,CH0210483332,,,32.129,,,76.06,5510.39,565100,31638924,56.86,
01/01/2020,CH0012138530,,,16.789,,,12.4,586.01,2542005,802155000,601.21,
01/01/2020,CH0030170408,,,53.95,,,543.2,2781.23,35626,3625000,40.52,
01/01/2020,CH0010645932,,,378.647,,,3031,964.33,9217,10440000,127.54,
01/01/2020,CH0012214059,,,42.621,,,27.286,2253.54,611712,52711000,52.76,
01/01/2020,CH0013841017,,,91.744,,,353.2,626.23,74283,14405000,55.96,
01/01/2020,CH0038863350,,,16.224,,,104.78,17784.57,2816456,122743000,87.42,
01/01/2020,CH0012005267,,,22.195,,,87.102,12552.32,2256822,109602825,66.88,
01/01/2020,CH0012032048,,,42.597,,,314,4098.77,853126,80679000,42.41,
01/01/2020,CH0008742519,,,183.198,,,512.6,389.71,51802,24079000,94.2,
01/01/2020,CH1256740924,,,5.677,,,106.04,3251.01,186731,6747000,365.47,
01/01/2020,CH0418792922,,,23.179,,,181.85,67382.94,141758,9599300,126.13,
01/01/2020,CH0014852781,,,365.683,,,479.079,678.79,31795,236903000,74.89,
01/01/2020,CH0126881561,,,65.465,,,108.7,8076.61,288976,151026135,54.91,
01/01/2020,CH0244767585,,,14.813,,,12.225,1128,3551578,988149405,425.2,
01/01/2020,CH0012255151,,,210.485,,,270,332.72,51771,12446000,0.84,
01/01/2020,CH0011075394,,,194.151,,,397.1,6236.74,148496,365028870,51.43,
01/01/2020,CH0432492467,,,34.05,,,54.8,94.4,489200,24072885,23.89,
01/01/2020,CH0024608827,,,86.315,,,887.4,1533.59,26352,3968000,38.06,
"01/01/2020,CH1430134226,"""","""","""","""","""","""","""","""","""","""","""""
01/01/2020,CH0025238863,,,20.128,,,163.2,4614.48,119584,9601000,82.47,
01/01/2020,CH0025751329,,,8.575,,,45.83,3037.25,166896,2040151,0,
01/01/2020,DE000A1EWWW0,,,33.086,,,290.15,3994.49,195066,19820000,91.26,
01/01/2020,DE0008404005,,,136.897,,,219.3,8606.56,412046,1035232000,76.13,
01/01/2020,DE000BASF111,,,36.722,,,67.44,11549.24,918479,76906000,61,
01/01/2020,DE000BAY0017,,,31.07,,,73.01,7109.93,982424,112360000,136.13,
01/01/2020,DE0005200000,,,27.507,,,106.45,13717.82,226819,9916000,1.72,
01/01/2020,DE0005190003,,,92.303,,,73.32,16108.43,659685,214199000,172.81,
01/01/2020,DE000CBK1001,,,19.852,,,5.523,37.76,1252358,504223000,698.81,
01/01/2020,DE0005439004,,,61.31,,,78.517,5415.8,200006,36886600,59.69,
01/01/2020,DE0005810055,,,33.611,,,140.7,1405.49,183521,152606000,77.76,
01/01/2020,DE0005140008,,,26.525,,,6.923,247.29,2065427,1319201000,388.55,
01/01/2020,DE0005552004,,,11.119,,,33.95,314.55,1239059,52917000,138.23,
01/01/2020,DE0005557508,,,7.573,,,14.616,260.97,4743456,256945000,382.09,
01/01/2020,DE000ENAG999,,,1.889,,,9.541,3382.54,2607369,93102000,666.82,
01/01/2020,DE0005785802,,,38.293,,,65.28,404.46,292877,31337884,110.39,
01/01/2020,DE0005785604,,,30.713,,,49.795,5906.72,551853,65834000,152.89,
01/01/2020,DE0006047004,,,66.884,,,65.14,1469.37,198416,31992100,73.6,
01/01/2020,DE0006048432,,,40.937,,,91.82,2605.7,434278,29363000,20.5,
01/01/2020,DE0006231004,,,6.932,,,20.27,75.25,1300670,21372000,94.61,
01/01/2020,DE0008232125,,,1.608,,,11.668,1811.64,837550,34651000,1141.95,
"01/01/2020,DE000A2E4L75,"""","""","""","""","""",222.2,143.47,"""","""","""","""""
01/01/2020,DE0007100000,,,56.729,,,41.295,161,1069837,279478000,240.3,
01/01/2020,DE0006599905,,,38.063,,,104.8,1157.84,434778,40249000,72.75,
01/01/2020,DE0008430026,,,156.732,,,264.5,24284.95,140099,281130000,30.71,
01/01/2020,DE0007037129,,,25.409,,,27.29,2918.35,676220,61271000,20.17,
01/01/2020,DE0007164600,,,25.193,,,120.32,33146.71,1179579,57299000,52.03,
01/01/2020,DE0007236101,,,45.527,,,105.411,5351.13,799310,120909000,122.47,
01/01/2020,DE0007500001,,,15.758,,,9.108,1568.25,622532,35993000,66.28,
01/01/2020,DE000A1ML7J1,,,38.34,,,44.868,355.34,603647,62401000,110.03,
01/01/2020,DE0007664039,,,222.097,,,176.42,1860.46,501295,483628000,196.85,
"01/01/2020,DE0007472060,,,"""",,,107.9,644.38,"""","""","""","
01/01/2020,IE000S9YS762,,,90.421,,,212.9,4303.5,523295,87961000,34.14,
01/01/2020,DE000A0D9PT0,,,47.919,,,255.1,1630.27,53278,8037000,62.08,
01/01/2020,DE000A0HN5C6,,,38.955,,,36.44,163.14,343773,30797400,86.41,
01/01/2020,DE000A2E4K43,,,5.844,,,70.82,277.73,199304,5774200,268.84,
01/01/2020,DE000ENER6Y0,,,20.828,,,,,717403,41975000,15.97,
01/01/2020,NL0000235190,,,8.224,,,130.48,1101.76,783716,106072000,325.94,
01/01/2020,DE000A1DAHH0,,,22.975,,,48.75,346.16,154500,8074200,57.49,
01/01/2020,DE000DTR0CK8,,,9.995,,,,,822952,48731000,239.25,
01/01/2020,DE0006602006,,,10.643,,,29.55,294.46,180492,5353076,31.62,
01/01/2020,DE000A12DM80,,,28.76,,,59.35,199.46,97836,3519823,11.76,
