state,year,tax,tax_sales,lavgprs,lpackpc,lincome_capita
AL,1985,30.204466,.78841209,4.5535021,4.7577734,2.3761947
AR,1985,34.38662,0,4.5465622,4.8561978,2.3483388
AZ,1985,28.81041,4.8052216,4.6142254,4.6494036,2.5518217
CA,1985,24.163568,5.672863,4.6073737,4.6087942,2.754509
CO,1985,28.81041,0,4.472877,4.7270651,2.6620893
CT,1985,39.033459,8.8135071,4.778975,4.6938982,2.8586864
DE,1985,27.881042,0,4.556531,4.9687791,2.703305
FL,1985,34.38662,5.1022301,4.6742001,4.8055043,2.6148658
GA,1985,26.022305,.78237343,4.50172,4.8460326,2.5025449
IA,1985,31.598515,3.6403351,4.5501723,4.7339644,2.5215003
ID,1985,23.327139,3.6781292,4.5605006,4.6349049,2.3818104
IL,1985,26.02231,.85060501,4.5753646,4.8138781,2.6679904
IN,1985,24.628254,4.256506,4.4929709,4.9246225,2.502511
KS,1985,29.739779,2.6777401,4.5210905,4.7594385,2.5888495
KY,1985,17.657993,3.8502941,4.3926721,5.2259359,2.3740416
LA,1985,29.739779,3.8745327,4.6125221,4.8485656,2.4215095
MA,1985,39.033459,0,4.6471066,4.7508068,2.7433386
MD,1985,26.951674,0,4.4481759,4.7956147,2.7574766
ME,1985,33.457249,4.7374535,4.6000223,4.8529434,2.4550745
MI,1985,34.38662,.77214813,4.5798922,4.8520679,2.6168139
MN,1985,31.598515,5.9786224,4.6598701,4.726531,2.6407931
MO,1985,26.951677,.79445457,4.5252795,4.8704066,2.5561612
MS,1985,25.635067,5.5390339,4.5834999,4.7625175,2.2215197
MT,1985,29.739779,0,4.5248113,4.6468678,2.4036386
NC,1985,16.728624,3.0371742,4.3690243,5.0452542,2.4641402
ND,1985,31.598515,3.8178444,4.5977821,4.6583819,2.4770424
NE,1985,31.598515,3.7391586,4.5769567,4.6763897,2.5470688
NH,1985,30.669146,0,4.4858756,5.2882366,2.6877029
NJ,1985,38.104092,0,4.6310105,4.7580738,2.797555
NM,1985,26.022305,3.6737919,4.5593209,4.4857354,2.41113
NV,1985,28.81041,6.0069695,4.6646004,4.9555159,2.656744
NY,1985,34.38662,.81893158,4.6272101,4.7592888,2.7440703
OH,1985,27.881042,4.444313,4.5361481,4.8488903,2.5865593
OK,1985,31.598515,.76804352,4.546494,4.845284,2.5117056
OR,1985,32.527882,0,4.5018044,4.7829294,2.5327499
PA,1985,31.598515,5.7379189,4.6187763,4.7681646,2.5970232
RI,1985,36.245354,0,4.5412922,4.8887072,2.6155994
SC,1985,21.375465,4.011385,4.4336591,4.8458347,2.3832133
SD,1985,28.81041,0,4.5023193,4.668992,2.4073489
TN,1985,26.951674,5.3629169,4.551188,4.8662615,2.4319062
TX,1985,32.760223,3.8382912,4.6031237,4.7458267,2.5795507
UT,1985,26.022305,5.7969341,4.6290088,4.2201877,2.3987091
VA,1985,17.19331,3.2747841,4.4443483,4.897913,2.6535366
VT,1985,30.669146,0,4.5417051,4.9786835,2.4912775
WA,1985,36.245354,7.8712082,4.7901301,4.5667219,2.6169415
WI,1985,38.104092,5.0712471,4.6681104,4.6809916,2.5546229
WV,1985,30.669146,4.8199329,4.6172829,4.7260365,2.3187144
WY,1985,22.304832,0,4.4643545,4.8629084,2.5823488
AL,1995,26.574806,.92169762,4.6436043,4.6159658,2.5584161
AR,1995,36.417324,5.4850197,4.7465429,4.7099171,2.4988978
AZ,1995,42.86964,6.2057076,4.8699923,4.2760296,2.6056216
CA,1995,40.026249,9.0363083,4.9281693,4.0405798,2.7771776
CO,1995,28.871393,0,4.6987491,4.4138031,2.792119
CT,1995,48.556431,8.1072845,4.9644427,4.3754072,3.0427284
DE,1995,31.496065,0,4.6882367,4.8240376,2.8130548
FL,1995,37.99213,6.9721146,4.8135982,4.533401,2.736167
GA,1995,23.622047,.93925095,4.6321845,4.5795922,2.6800997
IA,1995,39.370079,5.9645653,4.830359,4.526144,2.6317441
ID,1995,34.120735,5.6129723,4.7696028,4.3154831,2.5557194
IL,1995,44.619431,7.3717155,4.8693304,4.422029,2.8229389
IN,1995,25.918636,4.8285751,4.6190743,4.899766,2.6626551
KS,1995,31.496065,5.4746265,4.744647,4.4858623,2.6646652
KY,1995,17.716536,5.421917,4.562129,5.1512537,2.5343678
LA,1995,28.871393,4.2346897,4.7014065,4.6556363,2.5511725
MA,1995,49.212601,6.7836838,4.9590425,4.3388667,2.9126682
MD,1995,39.370079,5.8128281,4.8045897,4.3499365,2.8706346
ME,1995,40.026249,7.3254585,4.8630357,4.6295681,2.5863299
MI,1995,64.960632,8.9455414,5.0628347,4.399231,2.7556682
MN,1995,47.244095,9.4588852,4.9738727,4.4181814,2.7807274
MO,1995,26.902891,.91103363,4.6363716,4.8077049,2.6739485
MS,1995,27.559057,7.2644901,4.7099166,4.659492,2.4227149
MT,1995,27.559057,0,4.6299057,4.4677405,2.5105948
NC,1995,19.028872,3.7854347,4.5892568,4.8002276,2.6668832
ND,1995,44.619423,7.1404228,4.8374515,4.379611,2.5275185
NE,1995,38.057743,5.6922607,4.7836294,4.4690146,2.6785586
NH,1995,32.152233,0,4.6945071,5.0520124,2.7978678
NJ,1995,41.994751,7.5429802,4.8922968,4.3866582,2.9554722
NM,1995,29.527561,5.5038834,4.7499762,4.1692801,2.5152564
NV,1995,38.713913,8.8686562,4.9094419,4.5382409,2.8293471
NY,1995,52.493443,5.5990791,4.9806991,4.2601037,2.9008548
OH,1995,31.496065,5.1834507,4.6899939,4.7129488,2.7092195
OK,1995,30.839897,5.3160515,4.7152538,4.6884089,2.5436456
OR,1995,40.682415,0,4.8272634,4.5234799,2.69961
PA,1995,36.089241,6.5429764,4.750072,4.5606236,2.7457535
RI,1995,52.493443,9.635334,4.9923558,4.5282869,2.7586415
SC,1995,20.341208,4.7749901,4.607914,4.6828971,2.5477054
SD,1995,30.839897,4.2408142,4.7028518,4.5769687,2.5667512
TN,1995,24.278215,8.1202984,4.6970568,4.8066411,2.6605935
TX,1995,42.650921,7.3615494,4.86795,4.2915454,2.6479168
UT,1995,33.136486,5.6548004,4.7770276,3.8973601,2.5156047
VA,1995,17.388456,5.2075138,4.6946249,4.6576381,2.7755256
VT,1995,28.871393,5.4880238,4.7470908,4.8067613,2.640135
WA,1995,52.821526,10.264217,5.0555825,4.1825223,2.7516103
WI,1995,40.682415,6.2923813,4.8838615,4.526845,2.6954341
WV,1995,26.902889,6.1847115,4.6937599,4.7498665,2.4641752
WY,1995,23.622047,0,4.6446791,4.720623,2.6473544
