"","TICKER","PRC","MCAP","RNG"
"1","A",0.018460551,2.893627517,0.012258955
"2","AA",0.063632591,2.917090116,0.022117071
"3","AAC",0.050189351,-0.888937892,0.028225057
"4","AAL",0.028130771,3.23352767,0.032301342
"5","AAMC",0.001593436,0.338120448,0.033459419
"6","AAN",0.041414578,0.557241009,0.015853001
"7","AAOI",0.068091657,-1.5272106,0.039135835
"8","AAON",0.055527389,-0.020336866,0.024017634
"9","AAP",0.007261912,2.306777804,0.012775946
"10","AAPL",0.009832884,6.390506097,0.010242102
"11","AAVL",0.030891142,-0.319933344,0.035223847
"12","AAWW",0.029785223,-0.184324676,0.022007321
"13","ABAX",0.020280399,0.104373196,0.018423256
"14","ABBV",0.017435073,4.512874983,0.017235726
"15","ABC",0.012846578,2.859752066,0.010044834
"16","ABCB",0.042777168,-0.467081742,0.015826127
"17","ABCO",0.020341202,0.569453924,0.01786941
"18","ABCW",0.033107101,-1.270604696,0.041045727
"19","ABG",0.015135363,0.694172929,0.024581524
"20","ABM",0.038327584,0.374301869,0.011864838
"21","ABMD",0.040866367,-0.011227249,0.020745558
"22","ABT",0.023932407,4.140212796,0.011983264
"23","ABTL",0.110784644,-2.507501104,0.034911143
"24","ACAD",0.038994948,0.937016947,0.030085752
"25","ACAS",0.070708313,1.324518451,0.01186686
"26","ACAT",0.03071007,-0.865056916,0.025888192
"27","ACCO",0.141608176,-0.216266771,0.020322171
"28","ACET",0.050718885,-0.559035318,0.021656267
"29","ACHC",0.019424035,1.113268629,0.0215466
"30","ACHN",0.092564644,0.077261128,0.041777558
"31","ACIW",0.05425808,0.750266805,0.01964662
"32","ACM",0.032102281,1.148602552,0.019374173
"33","ACNB",0.05179198,-2.153677034,0.005696767
"34","ACOR",0.030001631,0.317786454,0.027618339
"35","ACRX",0.15600624,-1.276444341,0.039450665
"36","ACTA",0.057987092,-0.347471808,0.033532166
"37","ACTG",0.064633975,-0.257263875,0.028256387
"38","ACU",0.058486269,-2.894580464,0.010034328
"39","ACXM",0.058764915,0.269670224,0.019514656
"40","ACY",0.088583033,-4.009705751,0.015962778
"41","ADBE",0.015163552,3.492515501,0.016273219
"42","ADEP",0.138583436,-2.363127477,0.035723025
"43","ADES",0.049845047,-0.824635481,0.021437403
"44","ADI",0.021624468,2.675201586,0.015562064
"45","ADM",0.021497537,3.400805434,0.014470583
"46","ADMS",0.064151733,-1.335259979,0.040230445
"47","ADNC",0.153027279,-1.904697923,0.039762748
"48","ADP",0.013411822,3.580958799,0.010387327
"49","ADPT",0.03693118,-1.328976349,0.031314158
"50","ADS",0.003882263,2.658546546,0.017485114
"51","ADSK",0.01835536,2.514883009,0.017366771
"52","ADT",0.029615132,1.770249665,0.015259492
"53","ADTN",0.050449107,0.073038983,0.023399617
"54","ADUS",0.053174273,-1.577281008,0.024791329
"55","ADVS",0.03090837,0.513883962,0.020993935
"56","AE",0.022698115,-1.683042791,0.024244887
"57","AEE",0.024831577,2.279050884,0.012387155
"58","AEGN",0.054186496,-0.3756364,0.020876342
"59","AEGR",0.031303164,-0.101783408,0.044730241
"60","AEIS",0.055228056,-0.321824124,0.021567938
"61","AEL",0.042767623,0.557694849,0.01330666
"62","AEO",0.072722674,0.982576158,0.021565239
"63","AEP",0.018224462,3.288486061,0.011423195
"64","AEPI",0.024515813,-1.576399605,0.030296339
"65","AERI",0.045980688,-0.654087821,0.024567094
"66","AES",0.073362891,2.28788653,0.016189348
"67","AET",0.012801745,3.320602434,0.015042178
"68","AETI",0.140393713,-2.843279215,0.023930476
"69","AF",0.080391472,0.213664974,0.0138112
"70","AFAM",0.03652533,-1.350433295,0.023851987
"71","AFCB",0.044094247,-3.198714216,0.047030842
"72","AFFX",0.131199909,-0.579804374,0.02727862
"73","AFG",0.017318103,1.638750526,0.008602682
"74","AFL",0.017314583,3.263980736,0.009782328
"75","AFOP",0.082084226,-1.482771811,0.033057476
"76","AFSI",0.022327279,1.206574757,0.028146762
"77","AGCO",0.022589992,1.423143701,0.017312462
"78","AGIO",0.014374281,0.872967842,0.036407627
"79","AGM",0.035596651,-2.446550639,0.01151682
"80","AGN",0.005456443,3.997361322,0.018549952
"81","AGRX",0.152610975,-2.106875838,0.035817198
"82","AGTC",0.053704439,-1.186596099,0.044627524
"83","AGX",0.031096209,-0.767870729,0.022348926
"84","AGYS",0.090123626,-1.374222596,0.016400007
"85","AHC",0.089689596,-1.523154405,0.021745546
"86","AHS",0.061652281,-0.282738309,0.019904847
"87","AI",0.03819456,-0.548543419,0.009286057
"88","AIG",0.019378702,4.298783448,0.011897024
"89","AIMC",0.034919382,-0.275126816,0.020644745
"90","AIN",0.029081162,-0.017538427,0.014786811
"91","AIQ",0.04382956,-1.407918413,0.031731936
"92","AIR",0.041234895,-0.034143602,0.018566758
"93","AIRI",0.090606223,-2.54810434,0.017086753
"94","AIRM",0.019239134,0.708371726,0.024228252
"95","AIRT",0.077490677,-3.493718289,0.015615215
"96","AIT",0.021739952,0.64567466,0.014378821
"97","AIZ",0.015649133,1.517029796,0.010811322
"98","AJG",0.022054946,1.975734663,0.008899433
