date,mkt.rf,smb,hml,rf
19990104,-0.0019,0.0021,0.0045,0.00019
19990105,0.011,-0.0088,0.0012,0.00019
19990106,0.021,-0.007,-0.004,0.00019
19990107,-7.00E-04,0.0046,-0.0022,0.00019
19990108,0.0045,-5.00E-04,0.0038,0.00019
19990111,-0.0052,0.0111,-8.00E-04,0.00019
19990112,-0.0185,0.0066,9.00E-04,0.00019
19990113,-0.0054,-3.00E-04,-0.0022,0.00019
19990114,-0.0166,0.0109,-1.00E-04,0.00019
19990115,0.0228,-0.0075,-0.0041,0.00019
19990119,0.008,0.0013,-0.0066,0.00019
19990120,0.0024,0.0015,-0.0067,0.00019
19990121,-0.0182,0.0031,0.0073,0.00019
19990122,-0.0066,0.0041,0.0015,0.00019
19990125,0.0067,-0.0084,-0.0024,0.00019
19990126,0.0139,-0.0025,-0.0113,0.00019
19990127,-0.0074,6.00E-04,-0.0057,0.00019
19990128,0.0163,-0.0099,-0.0068,0.00019
19990129,0.0095,0.0019,-0.0061,0.00019
19990201,-0.0039,1.00E-04,-0.0027,0.00019
19990202,-0.0089,-0.0016,-0.0018,0.00019
19990203,0.009,-0.002,-0.0072,0.00019
19990204,-0.0192,0.0037,0.0106,0.00019
19990205,-0.0092,-0.0056,0.0079,0.00019
19990208,0.0023,-0.0059,0.0013,0.00019
19990209,-0.0225,9.00E-04,0.014,0.00019
19990210,0.0027,-0.012,-0.0045,0.00019
19990211,0.0249,-0.0051,-0.016,0.00019
19990212,-0.019,0.0016,0.0051,0.00019
19990216,0.0065,-0.0129,-0.0016,0.00019
19990217,-0.0145,-0.0069,0.0111,0.00019
19990218,0.0092,-0.0118,0.0068,0.00019
19990219,0.0025,0.0016,-0.005,0.00019
19990222,0.0241,-0.0126,-0.0056,0.00019
19990223,9.00E-04,0.0039,-0.0057,0.00019
19990224,-0.0131,0.0034,0.0022,0.00019
19990225,-0.0069,0.001,5.00E-04,0.00019
19990226,-0.0049,3.00E-04,0.0046,0.00019
19990301,-1.00E-04,0.0024,8.00E-04,0.00018
19990302,-0.0069,8.00E-04,0.0048,0.00018
19990303,1.00E-04,-0.0062,0.0011,0.00018
19990304,0.0134,-0.0103,-0.0031,0.00018
19990305,0.0204,-0.0125,-0.0047,0.00018
19990308,0.0066,-8.00E-04,-0.0094,0.00018
19990309,-0.0023,0.0015,-0.0024,0.00018
19990310,0.0052,4.00E-04,-0.0031,0.00018
19990311,0.0073,-0.0075,3.00E-04,0.00018
19990312,-0.0032,-0.0044,0.0072,0.00018
19990315,0.0094,-0.004,-0.0032,0.00018
19990316,-0.0015,-0.0022,-0.003,0.00018
19990317,-0.0055,0.0012,0.0037,0.00018
19990318,0.0127,-0.0118,-0.002,0.00018
19990319,-0.0132,0.0017,0.0081,0.00018
19990322,-0.0033,-0.0047,0.0033,0.00018
19990323,-0.0264,0.0046,0.0088,0.00018
19990324,0.0051,-0.0051,-0.0026,0.00018
19990325,0.0178,0.0039,-0.0101,0.00018
19990326,-0.005,0.0094,-0.0033,0.00018
19990329,0.0198,-0.0021,-0.0175,0.00018
19990330,-0.0063,0.0061,-0.0024,0.00018
19990331,-0.0086,-1.00E-04,0.0022,0.00018
19990401,0.0054,-0.001,-2.00E-04,0.00018
19990405,0.0187,-0.0095,-0.0056,0.00018
19990406,-0.0026,-1.00E-04,0.0013,0.00018
19990407,0.0042,-0.0073,-0.0022,0.00018
19990408,0.0127,-0.0042,-0.0077,0.00018
19990409,0.0043,0.0125,-0.0048,0.00018
19990412,0.0087,0.0024,-0.0019,0.00018
19990413,-0.0034,0.0195,-0.0018,0.00018
19990414,-0.0143,0.0054,0.0198,0.00018
19990415,-0.0039,-0.001,0.0085,0.00018
19990416,-0.0023,0.0085,0.0104,0.00018
19990419,-0.0248,-0.0101,0.0377,0.00018
19990420,0.0138,-0.0012,-0.0197,0.00018
19990421,0.0253,0.0059,-0.0193,0.00018
19990422,0.0135,-0.0055,-0.0089,0.00018
19990423,0.0011,0.0057,0.0016,0.00018
19990426,0.0044,0.0089,-0.0123,0.00018
19990427,9.00E-04,-7.00E-04,0.0059,0.00018
19990428,-0.0088,-0.0011,0.0159,0.00018
19990429,-0.0045,0.0036,0.0086,0.00018
19990430,-0.0047,0.007,-0.004,0.00018
19990503,0.011,-0.0141,0.0058,0.00017
19990504,-0.0149,0.0096,0.0044,0.00017
19990505,0.0103,-0.0086,-0.0016,0.00017
19990506,-0.0115,0.0085,0.0101,0.00017
19990507,0.0089,-0.0051,-0.0011,0.00017
19990510,-3.00E-04,0.012,0.0015,0.00017
19990511,0.0119,6.00E-04,-0.0088,0.00017
19990512,0.0065,9.00E-04,-0.0052,0.00017
19990513,0.0023,0.0022,0.0013,0.00017
19990514,-0.0214,0.008,0.0052,0.00017
19990517,0.0015,-3.00E-04,-0.0074,0.00017
19990518,-0.004,0.0041,0.0041,0.00017
19990519,0.0082,-0.001,-0.002,0.00017
19990520,-0.0036,0.0093,0.0041,0.00017
19990521,-0.0057,0.0073,0.007,0.00017
19990524,-0.0193,6.00E-04,0.0103,0.00017
19990525,-0.0181,-0.001,0.0105,0.00017
19990526,0.0141,-0.0118,-0.0066,0.00017
19990527,-0.0143,0.0122,-3.00E-04,0.00017
19990528,0.0153,-7.00E-04,-0.0066,0.00017
19990601,-0.008,0.0029,0.0082,0.00018
19990602,0.0013,-0.0032,-0.0043,0.00018
19990603,0.0012,-0.0024,0.0033,0.00018
19990604,0.0203,-0.0027,-0.0162,0.00018
19990607,0.0071,0.0023,-6.00E-04,0.00018
19990608,-0.0123,0.006,0.0042,0.00018
19990609,0.0016,0.0072,-0.0062,0.00018
19990610,-0.012,0.0047,0.0058,0.00018
19990611,-0.008,-4.00E-04,0.0033,0.00018
19990614,-0.0048,-0.0126,0.0102,0.00018
19990615,0.0052,-0.0042,-2.00E-04,0.00018
19990616,0.0225,-0.006,-0.0105,0.00018
19990617,0.0072,9.00E-04,-0.0074,0.00018
19990618,0.0022,0.0038,-0.0013,0.00018
19990621,0.0063,0.0078,-0.0072,0.00018
19990622,-0.0093,0.0059,0.003,0.00018
19990623,-0.0014,0.0025,-0.0022,0.00018
19990624,-0.0131,0.0058,0.0059,0.00018
19990625,-6.00E-04,0.0017,-6.00E-04,0.00018
19990628,0.0123,0.0016,-0.0024,0.00018
19990629,0.0149,-5.00E-04,-0.0092,0.00018
19990630,0.016,0.0101,-0.0148,0.00018
19990701,0.0055,-0.0084,-0.0019,0.00018
19990702,0.0073,-3.00E-04,-0.0048,0.00018
19990706,-8.00E-04,6.00E-04,0.0014,0.00018
19990707,0.0023,-0.0057,-0.0019,0.00018
19990708,3.00E-04,0.0068,-0.0054,0.00018
19990709,0.0054,0.0053,-0.0044,0.00018
19990712,-0.0024,0.0053,0.0018,0.00018
19990713,-0.0039,0.0034,-1.00E-04,0.00018
19990714,0.0046,0.0044,-0.0065,0.00018
19990715,0.0083,0.0026,-0.0064,0.00018
19990716,0.0049,-0.0044,-7.00E-04,0.00018
19990719,-0.0082,6.00E-04,0.0062,0.00018
19990720,-0.0222,0.0012,0.0107,0.00018
19990721,0.0027,0.002,-0.0055,0.00018
19990722,-0.0133,5.00E-04,0.0094,0.00018
19990723,-0.0032,-0.0023,2.00E-04,0.00018
19990726,-0.0101,-0.006,0.0081,0.00018
19990727,0.0112,-0.0036,-0.0074,0.00018
19990728,0.0015,0.0031,-0.0044,0.00018
19990729,-0.0175,0.0071,0.0048,0.00018
19990730,-0.0072,0.0155,-0.0019,0.00018
19990802,-0.0027,-0.0054,0.0051,0.00018
19990803,-0.0078,-0.0076,0.005,0.00018
19990804,-0.0145,-0.0046,0.0125,0.00018
19990805,0.0063,-0.0066,-0.0045,0.00018
19990806,-0.01,0.0081,0.0014,0.00018
19990809,-0.0041,-0.005,0.0085,0.00018
19990810,-0.0116,0.0037,5.00E-04,0.00018
19990811,0.0163,-0.0064,-0.0023,0.00018
19990812,-0.0014,0.003,0.0011,0.00018
19990813,0.0221,-0.0094,-0.0097,0.00018
19990816,0.0026,1.00E-04,-0.0053,0.00018
19990817,0.0097,-0.0061,-0.0029,0.00018
19990818,-0.0075,0.0038,-0.0021,0.00018
19990819,-0.0078,0.0063,0.0067,0.00018
19990820,0.0088,-0.0031,-0.0044,0.00018
19990823,0.0176,-0.0095,-0.0088,0.00018
19990824,0.0018,-2.00E-04,-0.0037,0.00018
19990825,0.012,-0.0014,-0.0149,0.00018
19990826,-0.0118,0.0089,0.0027,0.00018
19990827,-0.0099,0.0046,0.0039,0.00018
19990830,-0.0178,0.0103,-8.00E-04,0.00018
19990831,-0.0017,0.0027,-0.0013,0.00018
19990901,0.0077,-0.0021,-0.0013,0.00018
19990902,-0.0086,0.0037,0.0011,0.00018
19990903,0.0284,-0.0094,-0.0123,0.00018
19990907,-0.0034,0.0095,-5.00E-04,0.00018
19990908,-0.0055,0.002,0.0031,0.00018
19990909,0.0031,0.0015,5.00E-04,0.00018
19990910,0.0043,0.0046,-0.0048,0.00018
19990913,-0.0063,0.0017,0.0032,0.00018
19990914,-0.0053,0.003,-0.0026,0.00018
19990915,-0.0128,0.0062,0.008,0.00018
19990916,-0.002,-0.0087,4.00E-04,0.00018
