,gvkey,year,mtbe,own
1,12825,1993,1.89599412,0.27719843
2,12261,1993,1.105059812,0.016027143
3,12136,1993,1.841428844,0.023751218
4,11949,1993,1.127967693,0.012516208
5,12142,1993,13.24397342,0.23394483
6,12141,1993,7.654534238,0.27660426
7,1279,1993,1.594269397,8.09E-05
8,1300,1993,4.690980335,0.000632955
9,12053,1993,7.375223697,0.001513719
10,12515,1993,2.658296465,0.20062983
11,12380,1993,4.316405303,0.15087755
12,1408,1993,1.576754813,0.000693726
13,15246,1993,2.603895556,0.001400141
14,12216,1993,6.338410301,0.00775731
15,12215,1993,1.815429634,0.028326515
16,12252,1993,1.437796571,0.024232339
17,1789,1993,0.648478219,0.00150314
18,12262,1993,2.349241479,0.22256254
19,1581,1993,5.126418412,1.2
20,13779,1993,2.455342981,0.018210977
21,1598,1993,3.365532342,0.001965567
22,12424,1993,1.082482648,0.012126128
23,1722,1993,1.533398012,0.043293245
24,14134,1993,0.936199002,0.003822652
25,1848,1993,2.748148629,5.03E-05
26,12445,1993,1.664089729,0.001972925
27,12587,1993,6.632626986,6.20E-05
28,12589,1993,2.482952619,0.088934749
29,16751,1993,1.203282456,0.007227221
30,12583,1993,3.063503761,0.079618648
31,2189,1993,2.730076774,0.000694163
32,13553,1993,9.544723544,0.15048833
33,12679,1993,4.100045565,0.017798049
34,12840,1993,4.613130741,0.5002197
35,12734,1993,2.352664129,0.064955845
36,2424,1993,1.656253987,0.000281781
37,13232,1993,1.092874453,0.12865785
38,13184,1993,4.134292755,0.000951305
39,2436,1993,2.646431885,0.005597276
40,2444,1993,2.131558926,0.006123927
41,4001,1993,0.671247887,0.039664678
42,2504,1993,1.911364192,0.000317154
43,12850,1993,9.216067258,0.12566842
44,12842,1993,1.702607514,0.032173887
45,16920,1993,0.788165155,0.014176262
46,12884,1993,3.06684356,0.026679875
47,14377,1993,3.540864659,0.033835046
48,2562,1993,4.127398985,0.000390777
49,13374,1993,0.944406289,0.007784735
50,13011,1993,2.429869926,0.00492911
51,1164,1993,1.774275132,0.14793904
52,14489,1993,1.77127331,0.27372327
53,13081,1993,0.980231585,0.081552491
54,14014,1993,0.890636303,0.011467385
55,13283,1993,5.054344115,0.14559391
56,13229,1993,1.876549378,0.033262722
57,3022,1993,2.756221247,0.000666922
58,13315,1993,1.894287398,0.03374378
59,13318,1993,0.996935543,0.000575305
60,3144,1993,12.63063703,0.027000444
61,3206,1993,0.921719455,0.000689532
62,13333,1993,1.975542179,0.028811883
63,13326,1993,5.093137182,0.046432134
64,13369,1993,1.513120224,0.008462221
65,13397,1993,5.051574138,0.034979593
66,13406,1993,2.154634794,0.001680627
67,13407,1993,1.213460453,0.011788101
68,13421,1993,2.322552299,0.028874705
69,3413,1993,1.485487327,4.84E-05
70,13429,1993,2.383877758,0.26241302
71,13500,1993,4.312034499,0.10467515
72,14952,1993,1.179879419,0.012497024
73,14466,1993,2.799686192,0.021350954
74,13700,1993,5.155361532,0.040625244
75,3734,1993,3.675879711,0.001121037
76,13644,1993,-4.931483269,0.077978894
77,1254,1993,2.114641077,0.002818547
78,4087,1993,2.973991654,0.000693836
79,13902,1993,5.855100436,0.068381019
80,14084,1993,2.337779893,0.002549943
81,4194,1993,5.540625,8.00E-05
82,13941,1993,2.37446689,0.098601386
83,4503,1993,2.253427512,6.07E-05
84,14264,1993,2.095174857,0.019180622
85,14244,1993,20.52038765,0.037330624
86,14565,1993,16.36143521,0.10820028
87,14650,1993,6.348610224,0.005627098
88,2226,1993,3.960840965,9.06E-05
89,3138,1993,11.44928955,0.000268991
90,3226,1993,-4.931483269,0.010447816
91,14881,1993,1.095835532,1.95E-05
92,4941,1993,1.368755328,0.007351827
93,14960,1993,8.577427202,0.001651898
94,5073,1993,7.064838624,5.55E-05
95,14630,1993,5.367164507,0.037801709
96,5087,1993,3.098741446,0.001012253
97,5229,1993,1.314365211,0.004237209
98,14918,1993,11.02259218,0.28139859
99,14897,1993,9.18435142,0.037039559
100,5686,1993,5.870748616,0.001275985
101,5959,1993,2.982951679,0.000651382
102,5968,1993,3.11585823,0.001043761
103,6066,1993,1.761586797,5.24E-05
104,6081,1993,3.823140802,0.000498133
105,16645,1993,1.321129353,0.084994875
106,5905,1993,1.844492954,9.61E-05
107,5860,1993,1.415229716,0.00359678
108,6335,1993,3.967057235,0.005387679
109,6307,1993,1.621849646,0.00040538
110,1468,1993,1.961253799,2.50E-06
111,7127,1993,2.695660621,0.003328646
112,7139,1993,3.273725632,0.000993638
113,8123,1993,1.730571101,0.005919066
114,8264,1993,1.776699644,5.67E-05
115,8470,1993,1.766220636,0.001057003
116,8543,1993,4.196111368,0.000136682
117,8551,1993,3.792937775,0.001877422
118,1602,1993,5.668497978,0.008778308
119,9465,1993,3.267980824,0.000235521
120,9563,1993,1.836232332,0.000450822
121,1651,1993,2.944880904,0.066368654
122,2991,1993,2.027578079,0.000207408
123,1690,1993,1.339797474,0.000480097
124,10156,1993,1.579542906,0.000214477
125,1704,1993,4.228569949,0.005566674
126,10482,1993,1.83656866,0.000437445
127,10581,1993,1.502672141,0.000900281
128,10855,1993,1.831539107,0.000870921
129,11038,1993,2.571447439,0.001798571
130,10884,1993,1.014801866,0.47185305
131,1766,1993,3.560978408,0.26301476
132,7017,1993,1.559565633,0.00030974
133,10974,1993,12.27289501,0.01225322
134,11228,1993,2.423825116,0.003029794
135,11436,1993,4.796997107,4.79E-06
136,11584,1993,2.532275686,0.000438871
137,11609,1993,8.929608367,0.19416659
138,1837,1993,1.900457237,0.001106881
139,10332,1993,2.120287186,0.001547526
140,10499,1993,2.491092657,0.000515761
141,10857,1993,2.358885942,0.001483231
142,1478,1993,5.183590626,0.000408915
143,1849,1993,5.225290665,0.020610692
144,9846,1993,1.50329211,7.62E-06
145,5169,1993,9.185776433,0.002440843
146,5234,1993,2.99291855,0.000681444
147,2005,1993,1.242319615,0.004303325
148,2006,1993,1.863634592,0.025095182
149,2316,1993,52.98312,0.000498807
150,5597,1993,3.039653937,0.00215891
151,6502,1993,-0.880776908,0.003922529
152,8272,1993,1.948935185,0.0003207
153,2034,1993,2.478870867,0.001183315
154,7241,1993,1.920801972,0.001651812
155,2080,1993,1.625478148,0.01161026
156,5071,1993,7.538112404,0.002601133
157,7163,1993,4.060251041,0.002109305
158,1755,1993,-1.278062876,0.001893885
159,3619,1993,2.971024225,0.001519912
160,6435,1993,3.39790539,0.0001735
161,2176,1993,1.844089021,0.43822497
162,8536,1993,1.700404505,0.001549078
163,2190,1993,4.194399835,0.002815535
164,10983,1993,2.17201612,0.002356803
165,2201,1993,1.97744482,0.068437099
166,2393,1993,2.657065547,0.02685762
167,5589,1993,3.387644925,0.005915151
168,9514,1993,1.940892356,0.000431915
169,11678,1993,1.648444882,0.007337558
170,2230,1993,3.122549911,0.046182103
171,4864,1993,2.987471762,0.001383891
172,6701,1993,3.519453505,0.001530117
173,8762,1993,4.851013684,0.000509426
174,10092,1993,0.972704865,0.003190079
175,5693,1993,2.54141568,0.001126769
176,7536,1993,2.980644133,0.001270516
177,8446,1993,2.426413707,0.000719276
178,9850,1993,1.845176166,0.000120359
179,3091,1993,3.39891685,0.007027707
180,2817,1993,4.122654843,0.00022713
181,2281,1993,1.45822497,0.000353139
182,2282,1993,2.562344479,0.014209788
183,10301,1993,2.895580561,0.000899829
184,3170,1993,35.122333,0.0036548
185,9114,1993,1.691224583,0.001175483
186,9203,1993,2.692841428,0.00125353
187,7745,1993,0.916197637,0.16128026
188,10669,1993,1.475461375,0.000349206
189,4510,1993,7.861518077,0.001598137
190,11462,1993,71.21354,0
191,4073,1993,3.099063427,0.00233546
192,3835,1993,3.167272226,0.00039826
193,2159,1993,1.666807969,0.030826433
194,2403,1993,5.01995362,0.002527198
195,11264,1993,3.470086422,0.004917783
196,1609,1993,1.920761279,0.000163449
197,2285,1993,1.637645386,3.81E-05
198,2443,1993,1.817110975,0.079513013
199,10795,1993,3.058034101,0.010873922
200,1762,1993,3.620883266,0.000703079
201,7180,1993,1.687785171,0.001177177
202,9548,1993,2.29034928,0.16793752
203,5735,1993,1.482637733,0.003784167
204,3580,1993,2.54147511,0.034430742
205,2255,1993,1.842183502,0.000326997
206,2554,1993,5.617048847,0.024228796
207,2555,1993,1.207452082,0.018984662
208,8202,1993,2.276569298,0.001129557
209,1078,1993,6.619441151,0.000533447
210,7077,1993,2.269572287,0.00107198
211,2787,1993,2.017094628,0.00087716
212,4060,1993,1.93889476,0.000291283
213,2529,1993,3.925423947,0.19565457
214,5018,1993,1.873420213,0.000969398
215,3255,1993,1.108791541,7.83E-05
216,4961,1993,3.51314807,6.42E-05
217,1045,1993,1.589546166,0.000348304
218,4218,1993,1.60815414,0.036135979
219,5109,1993,1.105836155,0.015255654
220,4622,1993,2.805137601,0.004126984
221,1786,1993,1.681027104,0.000361995
222,6774,1993,1.751535817,0.000167092
223,7881,1993,6.436193146,0.00105461
224,11296,1993,2.055250424,0.001301056
225,3015,1993,0.798709382,0.24082547
226,7574,1993,0.997010379,0.002686139
227,4600,1993,3.067199713,0.001451624
228,2917,1993,1.052413073,0.00063235
229,9810,1993,1.846141108,0.001575553
230,6104,1993,1.348339277,0.001700206
231,8539,1993,1.571710907,0.000129174
232,5742,1993,1.900623267,0.000470385
233,3419,1993,2.006907636,0.000484817
234,5870,1993,1.700653678,0.000411298
235,8530,1993,5.728526193,0.000219176
236,3497,1993,1.905321203,0.002255167
237,2846,1993,-4.931483269,0.001256091
238,7773,1993,1.79511962,0.000100886
239,14152,1993,1.321150695,0.023983652
240,2854,1993,1.491300195,0.002463807
241,8325,1993,1.711095101,0.003658333
242,4321,1993,3.379970275,0.002693946
243,6266,1993,5.182071188,0.000182554
244,5505,1993,2.051955558,0.000560358
245,3532,1993,3.332428521,0.005891322
246,6837,1993,2.035764465,5.79E-05
247,4800,1993,1.648650096,0.000104156
248,8247,1993,3.277894495,0.000735477
249,8455,1993,1.693257785,7.58E-05
250,5079,1993,1.359364852,3.49E-05
251,7435,1993,3.58612811,0.000232557
252,8804,1993,1.640091104,0.000332137
253,3041,1993,6.246435224,0.011363712
254,7257,1993,4.301068244,0.000720761
255,2938,1993,2.262885463,0.041620385
256,7585,1993,4.010118583,0.000216431
257,9411,1993,3.383020417,0.003130429
258,7254,1993,1.091651882,0.000139453
259,8099,1993,1.547254994,2.12E-05
260,5568,1993,3.488263065,0.013171273
261,9445,1993,1.73984768,0.000314228
262,2783,1993,1.839661369,0.000373822
263,3439,1993,2.216907173,0.001296744
264,5643,1993,2.74803634,0.24572535
265,6127,1993,2.92021566,0.003277069
266,3011,1993,5.255458185,0.010479812
267,1430,1993,3.302237381,0.000359731
268,3026,1993,3.349127929,0.026567187
269,14824,1993,1.382076969,0.005757066
270,7837,1993,1.661549395,0.000314284
271,8694,1993,1.611641773,0.000407129
272,11550,1993,1.754447603,0.000111859
273,10519,1993,1.863532078,0.000142178
274,3062,1993,4.723144853,0.28752878
275,8810,1993,1.518992037,0.000135559
276,5877,1993,1.265881729,0.000124336
277,5439,1993,1.926650156,0.000832603
278,6825,1993,1.832389488,0.000517721
279,2847,1993,1.944963027,0.000323553
280,5134,1993,2.583677664,1.4
281,3082,1993,1.13294853,0.15078387
282,7977,1993,1.577856398,0.000300942
283,9217,1993,3.084197318,0.00089197
284,3848,1993,1.611973075,0.000164358
285,7366,1993,1.273535153,0.000126243
286,7862,1993,1.343585462,0.00013675
287,1440,1993,1.649886154,5.15E-06
288,7892,1993,1.174104557,5.83E-06
289,8805,1993,2.151919638,0.000406662
290,4517,1993,1.813471975,0.000693654
291,1995,1993,1.414080212,0.000503027
292,7437,1993,1.816537214,0.00084747
293,7537,1993,1.483540141,0.000222823
294,1243,1993,1.13506958,0.000250166
295,1794,1993,1.750360705,0.000771619
296,1843,1993,1.392091372,0.000221354
297,6173,1993,1.447288011,0.000126976
298,6334,1993,1.643947764,0.000264404
299,8113,1993,1.64622344,0.001059362
300,3153,1993,1.92991472,0.002817437
301,8606,1993,3.502406267,0.001982674
