yyyy,public,all_stock,horz,domestic,relsize,bidder_mtb,bidder_lev,bidder_tang,bidder_cash,bidder_rd,rate,lbidder_size,med_mtb_sect
1993,1,1,0,0,0.16513637,1.5892757,0.31640464,1.5347258,0.014776819,0.005920618,0.069299996,5.9684238,2.3638852
1993,0,1,0,1,0.019320395,1.5892757,0.31640464,1.5347258,0.014776819,0.005920618,0.069200002,5.8260589,2.3638852
1995,0,0,0,1,0.12081785,1.2294631,0.55031329,0.69081467,0.036691915,0,0.076499999,5.5947113,2.2945156
1995,1,1,1,1,1.0033333,4.9691353,0,1.0369706,0.082231686,0,0.0757,3.4965076,2.2945156
1995,0,0,1,1,0.01009846,1.528625,0.15053946,1.0998113,0.069403455,0.00384634,0.072999999,8.2842522,2.2945156
1996,1,1,1,1,0.52449238,2.9911697,0.34066367,1.0997925,0.03334254,0,0.074200004,8.4715681,2.1345148
1996,0,0,1,0,1.3319296,2.0795145,0.74676675,1.5387732,0.031215914,0,0.075000003,3.9467528,2.1345148
1997,1,1,1,0,0.39128914,1.8916516,0.12482221,1.3293903,0.060453758,0,0.066100001,7.4145727,1.4966551
1997,1,0,1,1,0.022975352,1.334709,0.11514825,1.0808696,0.097604021,0.003425795,0.067600004,8.4215631,1.4966551
1999,1,0,1,1,0.55928916,1.0711333,0.1660677,1.2074258,0.044018663,0.00357391,0.073899999,8.1772346,1.1595773
1999,1,1,1,0,0.08782918,1.816238,0.21693674,1.5318176,0.088052362,0,0.066399999,7.5842648,1.1595773
2000,1,0,1,1,0.1901844,1.7850488,0.29975715,1.1058322,0.016348731,0,0.076499999,8.3371096,0.9318608
2001,1,0,1,0,0.51563209,1.4129407,0.27813396,1.1346209,0.017172623,0,0.067699999,8.3652067,1.4180752
2001,1,1,1,0,0.62928432,1.4129407,0.27813396,1.1346209,0.017172623,0,0.067699999,8.408494,1.4180752
2002,1,1,1,0,0.23667479,3.9254577,0,1.2558373,0.44740048,0,0.067500003,6.8723421,2.1254196
2005,1,1,1,0,0.25389162,2.3976779,0.006769511,0.76827013,0.20513563,0,0.0535,6.0063534,3.0623138
2005,0,0,1,0,0.055834729,2.4080048,0,0.79744422,0.24414304,0,0.0513,7.4905295,3.0623138
2006,1,0,1,0,0.088079467,1.7382493,0,0.56065726,0.11037958,0.001030515,0.055100001,7.3198647,3.5522249
