PERMNO	date	PRC	RET
93436	20170103	216.99001	0.015443
93436	20170104	226.99001	0.046085
93436	20170105	226.75000	-0.001057
93436	20170106	229.00999	0.009967
93436	20170109	231.28000	0.009912
93436	20170110	229.87000	-0.006097
93436	20170111	229.73000	-0.000609
93436	20170112	229.59000	-0.000609
93436	20170113	237.75000	0.035542
93436	20170117	235.58000	-0.009127
93436	20170118	238.36000	0.011801
93436	20170119	243.75999	0.022655
93436	20170120	244.73000	0.003979
93436	20170123	248.92000	0.017121
93436	20170124	254.61000	0.022859
93436	20170125	254.47000	-0.000550
93436	20170126	252.50999	-0.007702
93436	20170127	252.95000	0.001743
93436	20170130	250.63000	-0.009172
93436	20170131	251.92999	0.005187
93436	20170201	249.24001	-0.010678
93436	20170202	251.55000	0.009268
93436	20170203	251.33000	-0.000875
93436	20170206	257.76999	0.025624
93436	20170207	257.48001	-0.001125
93436	20170208	262.07999	0.017865
93436	20170209	269.20001	0.027167
93436	20170210	269.23001	0.000111
93436	20170213	280.60001	0.042232
93436	20170214	280.98001	0.001354
93436	20170215	279.76001	-0.004342
93436	20170216	268.95001	-0.038640
93436	20170217	272.23001	0.012196
93436	20170221	277.39001	0.018955
93436	20170222	273.51001	-0.013988
93436	20170223	255.99001	-0.064056
93436	20170224	257.00000	0.003945
93436	20170227	246.23000	-0.041907
93436	20170228	249.99001	0.015270
93436	20170301	250.02000	0.000120
93436	20170302	250.48000	0.001840
93436	20170303	251.57001	0.004352
93436	20170306	251.21001	-0.001431
93436	20170307	248.59000	-0.010430
93436	20170308	246.87000	-0.006919
93436	20170309	244.89999	-0.007980
93436	20170310	243.69000	-0.004941
93436	20170313	246.17000	0.010177
93436	20170314	258.00000	0.048056
93436	20170315	255.73000	-0.008798
93436	20170316	262.04999	0.024714
93436	20170317	261.50000	-0.002099
93436	20170320	261.92001	0.001606
93436	20170321	250.67999	-0.042914
93436	20170322	255.00999	0.017273
93436	20170323	254.78000	-0.000902
93436	20170324	263.16000	0.032891
93436	20170327	270.22000	0.026828
93436	20170328	277.45001	0.026756
93436	20170329	277.38000	-0.000252
93436	20170330	277.92001	0.001947
93436	20170331	278.29999	0.001367
93436	20170403	298.51999	0.072655
93436	20170404	303.70001	0.017352
93436	20170405	295.00000	-0.028647
93436	20170406	298.70001	0.012542
93436	20170407	302.54001	0.012856
93436	20170410	312.39001	0.032558
93436	20170411	308.70999	-0.011780
93436	20170412	296.84000	-0.038450
93436	20170413	304.00000	0.024121
93436	20170417	301.44000	-0.008421
93436	20170418	300.25000	-0.003948
93436	20170419	305.51999	0.017552
93436	20170420	302.51001	-0.009852
93436	20170421	305.60001	0.010215
93436	20170424	308.03000	0.007952
93436	20170425	313.79001	0.018700
93436	20170426	310.17001	-0.011536
93436	20170427	308.63000	-0.004965
93436	20170428	314.07001	0.017626
93436	20170501	322.82999	0.027892
93436	20170502	318.89001	-0.012204
93436	20170503	311.01999	-0.024679
93436	20170504	295.45999	-0.050029
93436	20170505	308.35001	0.043627
93436	20170508	307.19000	-0.003762
93436	20170509	321.26001	0.045802
93436	20170510	325.22000	0.012326
93436	20170511	323.10001	-0.006519
93436	20170512	324.81000	0.005292
93436	20170515	315.88000	-0.027493
93436	20170516	317.01001	0.003577
93436	20170517	306.10999	-0.034384
93436	20170518	313.06000	0.022704
93436	20170519	310.82999	-0.007123
93436	20170522	310.35001	-0.001544
93436	20170523	303.85999	-0.020912
93436	20170524	310.22000	0.020931
93436	20170525	316.82999	0.021307
93436	20170526	325.14001	0.026229
93436	20170530	335.10001	0.030633
93436	20170531	341.01001	0.017637
93436	20170601	340.37000	-0.001877
93436	20170602	339.85001	-0.001528
93436	20170605	347.32001	0.021980
93436	20170606	352.85001	0.015922
93436	20170607	359.64999	0.019272
93436	20170608	370.00000	0.028778
93436	20170609	357.32001	-0.034270
93436	20170612	359.01001	0.004730
93436	20170613	375.95001	0.047185
93436	20170614	380.66000	0.012528
93436	20170615	375.34000	-0.013976
93436	20170616	371.39999	-0.010497
93436	20170619	369.79999	-0.004308
93436	20170620	372.23999	0.006598
93436	20170621	376.39999	0.011176
93436	20170622	382.60999	0.016498
93436	20170623	383.45001	0.002196
93436	20170626	377.48999	-0.015543
93436	20170627	362.37000	-0.040054
93436	20170628	371.23999	0.024478
93436	20170629	360.75000	-0.028257
93436	20170630	361.60999	0.002384
93436	20170703	352.62000	-0.024861
93436	20170705	327.09000	-0.072401
93436	20170706	308.82999	-0.055826
93436	20170707	313.22000	0.014215
93436	20170710	316.04999	0.009035
93436	20170711	327.22000	0.035343
93436	20170712	329.51999	0.007029
93436	20170713	323.41000	-0.018542
93436	20170714	327.78000	0.013512
93436	20170717	319.57001	-0.025047
93436	20170718	328.23999	0.027130
93436	20170719	325.26001	-0.009079
93436	20170720	329.92001	0.014327
93436	20170721	328.39999	-0.004607
93436	20170724	342.51999	0.042996
93436	20170725	339.60001	-0.008525
93436	20170726	343.85001	0.012515
93436	20170727	334.45999	-0.027308
93436	20170728	335.07001	0.001824
93436	20170731	323.47000	-0.034620
