denied,debt_income_ratio,black,self_employed,score_consumer,score_mortgage,insurance_denied,loan_price_ratio
0,22.1,0,0,5,2,0,.80000001
0,26.5,0,0,2,2,0,.921875
0,37.200001,0,0,1,2,0,.94387758
0,32,0,0,1,2,0,.88095236
0,36,0,0,1,1,0,.60000002
0,24,0,0,1,1,0,.5105263
0,35,0,0,1,2,0,.74666667
0,28,0,0,2,2,0,.85779816
1,31,0,0,2,2,1,.89726025
0,18,0,0,2,1,0,.36529681
0,28,0,0,1,2,0,.2238806
0,31,0,0,1,2,0,.72093022
1,28,0,0,1,2,1,.53763443
0,36,0,0,1,1,0,.6494382
0,18,0,0,1,1,0,.36250001
0,36,0,0,2,1,0,.83333331
0,23,0,0,1,1,0,.65934068
0,32,0,0,2,1,0,.4375
0,31,0,0,2,2,0,.80337077
0,37,0,0,2,2,0,.80000001
1,37,0,0,6,1,1,.89634144
0,39,0,0,3,2,0,.89781022
0,32,0,0,1,2,0,.72916669
0,39,0,0,1,2,0,.90102386
0,33,0,0,1,2,0,.65437788
0,28,0,0,1,2,0,.70833331
0,37,0,0,1,2,0,.90265489
0,30,0,0,1,2,0,.5076142
0,31,0,0,1,2,0,.94936711
0,26,1,0,1,2,0,.89108908
0,36,0,0,1,2,0,.86330932
0,37,0,0,5,1,0,.71428573
0,35,0,0,3,2,0,.75121951
0,37,0,0,1,2,0,.90212768
0,34,0,0,1,2,0,.87272727
0,38,0,0,1,2,0,.48128343
0,44,0,0,1,1,0,.68796992
0,35,1,0,2,1,0,.89781022
0,38,0,0,1,2,0,.89999998
0,37,0,0,1,2,0,.93124998
0,37,0,0,1,2,0,.9537037
0,41,0,0,1,1,0,.69230771
1,35,0,0,1,2,1,1.4782609
1,41,0,0,3,4,0,.72000003
0,34,0,0,6,2,0,.69565219
0,29,0,0,2,2,0,.89403975
1,27,0,0,6,2,0,.80000001
0,37,1,0,1,2,0,.8671875
1,34,0,1,1,2,0,.74193549
0,36,0,0,2,1,0,.72463769
0,34,0,0,5,3,0,.64367819
0,27,0,0,1,2,0,.95238096
0,16,0,0,1,1,0,.79310346
0,39,0,0,1,2,0,.91358024
0,36,0,0,5,2,0,.20714286
0,31.4,0,0,1,2,0,.9539749
0,34,0,0,1,2,0,.90344828
0,33.200001,0,0,2,2,0,.93277311
0,33,0,1,1,1,0,.64102566
0,39.900002,0,0,1,2,0,.80459768
0,34.200001,0,0,1,2,0,.76923078
0,37.599998,0,0,2,1,0,.80000001
0,32.099998,0,0,1,2,0,.89552242
0,27.9,0,0,1,2,0,.80000001
0,31.700001,0,0,2,2,0,.89999998
0,28.5,1,1,1,2,0,.80246913
0,36.5,0,0,2,2,0,.94666666
0,33.700001,0,0,4,1,0,.42735043
0,35,0,0,1,1,0,.6785714
0,35.200001,0,0,2,2,0,.89147288
0,35,0,0,1,1,0,.9520548
0,34.400002,0,0,1,2,0,.94871795
0,28,0,0,1,2,0,.73825502
0,37.799999,0,0,2,2,0,.89947093
0,25.799999,0,0,2,2,0,.80000001
0,21.799999,0,1,2,1,0,.80219781
0,23,0,0,1,1,0,.55307263
0,28.5,0,0,1,2,0,.65614033
1,26.5,0,0,2,2,1,.94999999
0,36,0,0,1,4,0,.78431374
0,27.200001,0,0,1,1,0,.66666669
0,36,0,1,2,1,0,.80113637
1,31,1,0,4,2,0,.89999998
1,35.900002,0,0,2,2,0,.95275593
0,39.700001,0,0,2,1,0,.67307693
0,34,0,1,2,1,0,.76666665
1,21.9,1,0,2,2,0,.80000001
0,32,0,0,1,2,0,.85000002
0,32,0,0,1,2,0,.94814813
0,28,0,0,1,2,0,.5
1,38.799999,1,0,3,2,0,.90070921
0,25,0,0,1,2,0,.80000001
0,34,0,0,1,1,0,.90196079
0,32,0,0,2,2,0,.74418604
0,31.200001,0,1,1,2,0,.79912663
0,33,0,0,1,2,0,.59493673
0,32,0,0,2,2,0,.69078946
0,38,0,0,2,1,0,.90303028
0,32,0,0,1,2,0,.79699248
0,23,0,0,1,2,0,.954023
0,27,0,0,2,2,0,.80000001
0,31.4,0,0,5,1,0,.66666669
0,35,0,0,3,2,0,.85820895
0,32,0,1,2,2,0,.80000001
0,35.799999,0,0,1,1,0,.80000001
1,35,0,0,1,2,1,.95200002
0,34,0,0,3,2,0,.92253524
0,31,0,1,2,2,0,.80000001
0,29,0,0,3,3,0,.70322579
1,61,0,0,1,2,0,.55555558
0,26.299999,0,0,1,1,0,.61538464
0,26.200001,0,0,2,2,0,.69230771
0,36,0,0,1,2,0,.89999998
1,46,0,1,2,1,0,.796
0,30.5,0,0,1,2,0,.72222221
0,38.400002,0,0,2,2,0,.52054793
0,26.4,0,1,1,2,0,.80000001
0,33,0,0,1,1,0,.29612756
1,47,1,1,3,2,0,.89864862
0,19,0,0,1,2,0,.74301678
0,30,0,0,4,2,0,.89473683
0,36,0,0,1,1,0,.73863637
0,33,0,0,1,2,0,.69999999
0,23,0,0,1,2,0,.7368421
0,41,0,0,3,1,0,.80000001
0,36,0,0,2,2,0,.95061731
1,41,0,0,1,2,0,.69836956
0,33,0,0,1,2,0,.68181819
1,29,0,0,6,2,0,.59405941
0,41,0,0,1,1,0,.7987805
0,33,0,0,1,2,0,.90170938
0,23,0,0,1,1,0,.88917524
0,39,0,1,1,1,0,.80000001
0,39,0,1,5,1,0,.80051148
0,27,0,0,1,1,0,.80000001
0,38.400002,0,1,1,1,0,.80000001
0,38.200001,1,0,6,2,0,.67826086
0,37,0,0,1,2,0,.5813008
0,32.5,0,0,4,2,0,.79891306
0,39.799999,0,0,1,1,0,.65204084
0,39.5,0,0,2,2,0,.80000001
0,40.700001,0,0,1,2,0,.74893618
0,30.1,0,0,1,2,0,1
0,36.5,0,0,1,2,0,1
0,26.6,0,0,1,2,0,.7977528
0,26.799999,0,0,1,2,0,.90106004
0,26.9,0,0,1,2,0,.7987805
0,40.900002,1,0,6,2,0,.94999999
0,30.799999,0,0,6,2,0,.58139533
0,31.1,0,0,5,2,0,.73170733
0,36,1,0,1,2,0,.89795917
0,39,0,0,2,2,0,.82993197
0,32,0,0,1,2,0,.73456788
0,18,0,0,1,2,0,.32270312
0,34,0,0,6,2,0,.40512821
0,32.799999,1,0,1,2,0,.89999998
1,38.380001,1,0,6,2,0,.89617485
0,33.799999,1,0,6,2,0,.89999998
0,28.1,0,0,1,2,0,.47704083
1,39.23,1,0,6,2,0,.90225565
0,36.299999,0,0,1,1,0,.48695651
0,24.58,0,0,1,1,0,.32110092
0,38.209999,0,0,1,2,0,.7972973
0,32,0,0,1,1,0,.66857141
0,28.6,1,0,5,2,0,.90099013
0,26.6,0,0,2,1,0,.56060606
0,31.5,1,0,1,1,0,.90131581
0,30.469999,1,0,1,2,0,.99759936
0,33.799999,0,0,1,2,0,.90285712
0,36.599998,0,0,1,2,0,.87951809
0,37.099998,1,1,1,2,0,.8974359
0,38.099998,0,0,1,2,0,.31999999
0,35,1,0,1,2,0,.89855075
0,34,1,0,2,2,0,.95238096
0,26.52,0,0,6,2,0,1.3333334
0,35,0,0,2,2,0,.89999998
1,39,1,0,6,2,0,.90225565
1,39,0,1,2,2,0,.79768789
0,30,0,0,1,1,0,.40217391
0,29,0,0,1,1,0,.72222221
0,35,0,0,1,2,0,.80148423
0,39,0,0,1,1,0,1
0,36,1,0,6,2,0,.90370369
0,26,0,0,1,1,0,.7981928
0,36,0,0,1,1,0,.77868855
0,27,0,0,1,2,0,.77401131
0,35.700001,0,0,5,2,0,.80000001
0,30,1,0,1,2,0,1.0705882
